Country Name,ODA_2014,ExtPov_%
Albania,262730011,1
Algeria,148350006.1,0.5
Angola,227809997.6,14.6
Argentina,47020000.46,0.6
Armenia,250009994.5,1.4
Azerbaijan,200809997.6,0
Bangladesh,2324479980,13.5
Belarus,110349998.5,0
Benin,575219970.7,50.7
Bhutan,123089996.3,1.7
Bolivia,641169982.9,4.3
Bosnia and Herzegovina,578890014.6,0.1
Botswana,101779998.8,15.4
Brazil,827890014.6,3.3
Burkina Faso,1088270020,39.6
Burundi,492209991.5,65.1
Cabo Verde,222009994.5,4.6
Cameroon,804059997.6,25.7
Central African Republic,577140014.6,61.9
Chad,375820007.3,36.6
Chile,232690002.4,0.5
China,-978969970.7,2.1
Colombia,1183930054,5.4
Comoros,70629997.25,18.6
"Congo, Dem. Rep.",2308399902,69.7
"Congo, Rep.",100349998.5,35.4
Costa Rica,52490001.68,1.5
Cote d'Ivoire,896090026.9,33.4
Djibouti,158259994.5,24.9
Dominican Republic,160270004.3,3.4
Ecuador,158619995.1,2.6
"Egypt, Arab Rep.",3345830078,0.9
El Salvador,96919998.17,3.4
Eswatini,87199996.95,36.1
Ethiopia,3453010010,27
Fiji,84260002.14,0.4
Gabon,104269996.6,2.5
"Gambia, The",94199996.95,13.4
Georgia,554250000,6.1
Ghana,1072239990,25.7
Guatemala,275589996.3,9.5
Guinea,524250000,24.5
Guinea-Bissau,105209999.1,66.7
Haiti,1063650024,29.2
Honduras,587869995.1,13.3
India,2880620117,18.7
Indonesia,-500109985.4,9.3
"Iran, Islamic Rep.",68459999.08,0.8
Iraq,1345339966,0.1
Jordan,2736330078,0
Kazakhstan,75000000,0
Kenya,2614709961,29.4
Kiribati,73580001.83,1.7
Kosovo,544820007.3,1.1
Kyrgyz Republic,382359985.4,1
Lao PDR,454619995.1,10.9
Lebanon,778309997.6,0
Lesotho,107400001.5,32.4
Liberia,726809997.6,25.9
Madagascar,562510009.8,80.7
Malawi,886750000,65.7
Malaysia,16520000.46,0
Maldives,21049999.24,0
Mali,1171829956,48.2
Marshall Islands,60000000,0.9
Mauritania,248550003.1,6.5
Mauritius,40069999.69,0.4
Mexico,795659973.1,3.7
"Micronesia, Fed. Sts.",126559997.6,16
Moldova,503779998.8,0
Mongolia,306480011,0.3
Montenegro,92169998.17,1.6
Morocco,2107500000,1.4
Mozambique,2014949951,64.6
Myanmar,1313819946,6.2
Namibia,235500000,15.6
Nauru,19770000.46,1.4
Nepal,831780029.3,8.2
Nicaragua,395510009.8,3.9
Niger,875659973.1,53.6
Nigeria,2407229980,32.3
North Macedonia,196149993.9,4.5
Pakistan,3514129883,7.4
Panama,-180279998.8,2.9
Papua New Guinea,509660003.7,39.7
Paraguay,60040000.92,2.4
Peru,322440002.4,4.8
Philippines,640000000,6.5
Rwanda,1000099976,53.7
Samoa,86150001.53,1.2
Sao Tome and Principe,39389999.39,15.6
Senegal,1081130005,41
Serbia,327170013.4,6.9
Seychelles,11329999.92,1.2
Sierra Leone,847250000,38.7
Solomon Islands,175050003.1,26.6
Somalia,1014500000,70.7
South Africa,1092270020,20.5
South Sudan,1920449951,67.3
Sri Lanka,470079986.6,2.6
St. Lucia,18469999.31,5.1
Sudan,853059997.6,15.3
Tajikistan,325359985.4,6.1
Tanzania,2557979980,44.7
Thailand,354209991.5,0.1
Timor-Leste,231270004.3,8
Togo,200479995.7,54.7
Tonga,74339996.34,1.1
Tunisia,796929992.7,0.1
Turkiye,3231070068,0.2
Tuvalu,31590000.15,3.6
Uganda,1595050049,37.5
Ukraine,1323400024,0
Uruguay,86919998.17,0.2
Vanuatu,88709999.08,14.7
"Venezuela, RB",41470001.22,7.1
Vietnam,4130580078,1.9
West Bank and Gaza,2361389893,0.5
"Yemen, Rep.",1117849976,19.8
Zambia,973479980.5,61.4
Zimbabwe,726929992.7,21.6
