,index,Year,Country,GDP_CAP,refugees_asylum,continent
0,19,2021,Afghanistan,368.7546142,67200,Asia
1,49,2021,Albania,6492.872012,115,Europe
2,81,2021,Algeria,3690.627878,100020,Africa
3,113,2021,Angola,1953.533757,56324,Africa
4,147,2021,Argentina,10636.1202,15076,South America
5,177,2021,Armenia,4966.513471,34909,Asia
6,217,2021,Australia,60443.10916,138416,Oceania
7,249,2021,Austria,53637.70571,180361,Europe
8,279,2021,Azerbaijan,5387.997975,1710,Asia
9,298,2021,Bahrain,26562.96914,446,Asia
10,330,2021,Bangladesh,2457.92488,918955,Asia
11,334,2021,Barbados,17225.4623,10,North America
12,362,2021,Belarus,7302.257794,2843,Europe
13,394,2021,Belgium,51247.01435,103018,Europe
14,426,2021,Belize,6228.267309,2101,North America
15,458,2021,Benin,1319.154995,2242,Africa
16,483,2021,Bosnia and Herzegovina,7143.310548,390,Europe
17,515,2021,Botswana,6805.221274,746,Africa
18,547,2021,Brazil,7507.160971,261189,South America
19,577,2021,Bulgaria,12221.49661,30377,Europe
20,609,2021,Burkina Faso,893.0771558,34423,Africa
21,641,2021,Burundi,221.4776762,85788,Africa
22,670,2021,Cambodia,1625.23502,36,Asia
23,702,2021,Cameroon,1666.932734,465287,Africa
24,734,2021,Canada,51987.93905,193268,North America
25,745,2021,Cayman Islands,86568.76964,87,North America
26,775,2021,Chad,685.6902841,560487,Africa
27,807,2021,Chile,16265.09598,12224,South America
28,839,2021,China,12556.33312,304221,Asia
29,871,2021,Colombia,6104.136709,30424,South America
30,875,2021,Comoros,1577.471027,27,Africa
31,907,2021,Costa Rica,12472.44373,162731,North America
32,939,2021,Cote d'Ivoire,2549.041297,4478,
33,966,2021,Croatia,17685.32528,1582,Europe
34,1028,2021,Cyprus,31551.81641,41613,Asia
35,1059,2021,Czechia,26821.24523,2982,
36,1091,2021,Denmark,68007.75667,37542,Europe
37,1123,2021,Djibouti,3150.436729,34695,Africa
38,1155,2021,Ecuador,5965.132871,63740,South America
39,1187,2021,El Salvador,4551.184661,164,North America
40,1227,2021,Estonia,27943.70122,336,Europe
41,1259,2021,Eswatini,3978.403528,1541,
42,1291,2021,Ethiopia,925.077428,823534,Africa
43,1307,2021,Fiji,4646.612723,18,
44,1339,2021,Finland,53654.7503,26486,Europe
45,1371,2021,France,43658.97898,575622,Europe
46,1402,2021,Gabon,8635.325694,325,Africa
47,1429,2021,Georgia,5023.27438,3047,Asia
48,1461,2021,Germany,51203.55447,1509561,Europe
49,1493,2021,Ghana,2363.299296,13773,Africa
50,1525,2021,Greece,20192.5963,156697,Europe
51,1559,2021,Guatemala,5025.542291,1949,North America
52,1591,2021,Guinea,1189.175999,5994,Africa
53,1623,2021,Guinea-Bissau,795.1185693,1876,Africa
54,1635,2021,Guyana,9998.544311,134,South America
55,1678,2021,Honduras,2771.717461,243,North America
56,1709,2021,Hungary,18728.12189,5681,Europe
57,1741,2021,Iceland,68727.63666,2136,Europe
58,1773,2021,India,2256.590409,225781,Asia
59,1805,2021,Indonesia,4332.709281,13098,Asia
60,1837,2021,Iraq,4775.377454,291580,Asia
61,1869,2021,Ireland,100172.0793,16475,Europe
62,1893,2021,Israel,52170.71186,28274,Asia
63,1925,2021,Italy,35657.49756,196641,Europe
64,1948,2021,Jamaica,5183.581305,36,North America
65,1980,2021,Japan,39312.66037,18217,Asia
66,2012,2021,Jordan,4103.258966,760020,Asia
67,2041,2021,Kazakhstan,10373.78979,657,Asia
68,2073,2021,Kenya,2081.799855,540049,Africa
69,2126,2021,Latvia,21148.16294,914,Europe
70,2158,2021,Lebanon,4136.146347,854582,Asia
71,2175,2021,Lesotho,1094.098185,522,Africa
72,2197,2021,Liberia,675.6631858,17987,Africa
73,2226,2021,Libya,6357.19555,39882,
74,2272,2021,Lithuania,23723.34025,2002,Europe
