Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,38972230
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,516.8665522
Afghanistan,AFG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,4206660156
Albania,ALB,"Population, total",SP.POP.TOTL,2837849
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5332.160475
Albania,ALB,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,309950012.2
Algeria,DZA,"Population, total",SP.POP.TOTL,43451666
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3337.252512
Algeria,DZA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,209589996.3
American Samoa,ASM,"Population, total",SP.POP.TOTL,46189
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,15501.52634
American Samoa,ASM,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..
Andorra,AND,"Population, total",SP.POP.TOTL,77700
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,37207.49386
Andorra,AND,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..
Angola,AGO,"Population, total",SP.POP.TOTL,33428486
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,1603.993477
Angola,AGO,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,110870002.7
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92664
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,14787.63578
Antigua and Barbuda,ATG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,25780000.69
Argentina,ARG,"Population, total",SP.POP.TOTL,45376763
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,8496.424142
Argentina,ARG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,101279998.8
Armenia,ARM,"Population, total",SP.POP.TOTL,2805608
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4505.867364
Armenia,ARM,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,105620002.7
Aruba,ABW,"Population, total",SP.POP.TOTL,106585
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,24487.86356
Aruba,ABW,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..
Australia,AUS,"Population, total",SP.POP.TOTL,25655289
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,51720.37076
Australia,AUS,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..
Austria,AUT,"Population, total",SP.POP.TOTL,8916864
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,48809.22688
Austria,AUT,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10093121
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4229.910649
Azerbaijan,AZE,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,121269996.6
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,406471
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,23862.71099
"Bahamas, The",BHS,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..
Bahrain,BHR,"Population, total",SP.POP.TOTL,1477469
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,23501.91946
Bahrain,BHR,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..
Bangladesh,BGD,"Population, total",SP.POP.TOTL,167420951
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2233.305524
Bangladesh,BGD,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,5373850098
Barbados,BRB,"Population, total",SP.POP.TOTL,280693
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,16643.80658
Barbados,BRB,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..
