Country,CO2 per cap,Continent
Qatar,35.59,Asia
Bahrain,26.66,Asia
Kuwait,24.97,Asia
Trinidad and Tobago,23.68,North America
Brunei,23.53,Asia
United Arab Emirates,21.79,Asia
New Caledonia,19.1,Unidentified
Saudi Arabia,18.7,Asia
Oman,17.92,Asia
Australia,15.09,Oceana
Mongolia,15.03,Asia
United States of America,14.86,North America
Kazakhstan,14.41,Europe
Canada,14.3,North America
Palau,13.23,Oceana
Faeroe Islands,13.2,Unidentified
Turkmenistan,13.09,Asia
Luxembourg,13.07,Europe
Russia,12.1,Europe
South Korea,11.89,Asia
Libya,11.06,Africa
Saint Pierre and Miquelon,10.54,Unidentified
Curaçao,9.69,Unidentified
Czechia,9.24,Europe
Anguilla,9.19,Unidentified
Iceland,9.11,Europe
Greenland,9.08,Unidentified
Poland,8.58,Europe
Japan,8.57,Asia
Bermuda,8.54,Unidentified
Iran,8.52,Asia
Belgium,8.24,Europe
Germany,8.09,Europe
Netherlands,8.06,Europe
Aruba,8.05,Unidentified
China,8.05,Asia
Estonia,7.86,Europe
Malaysia,7.63,Asia
Norway,7.57,Europe
Turks and Caicos Islands,7.56,Unidentified
Ireland,7.53,Europe
South Africa,7.34,Africa
Austria,7.24,Europe
Finland,6.79,Europe
New Zealand,6.59,Oceana
Slovakia,6.48,Europe
Belarus,6.22,Europe
Bulgaria,6.18,Europe
Niue,6.15,Unidentified
Israel,6.13,Asia
Cyprus,6.11,Europe
Slovenia,5.92,Europe
Bahamas,5.85,North America
Guadeloupe,5.78,Unidentified
Andorra,5.73,Europe
Martinique,5.69,Unidentified
Italy,5.55,Europe
Singapore,5.47,Asia
Greece,5.39,Europe
Cook Islands,5.38,Unidentified
Seychelles,5.34,Africa
Turkey,5.26,Europe
United Kingdom,5.15,Europe
British Virgin Islands,5.09,Unidentified
Denmark,5.05,Europe
Antigua and Barbuda,5.03,North America
Saint Kitts and Nevis,4.99,North America
Hungary,4.99,Europe
Lithuania,4.98,Europe
Spain,4.92,Europe
Nauru,4.76,Oceana
France,4.74,Europe
Montserrat,4.68,Unidentified
Ukraine,4.64,Europe
Suriname,4.56,South America
Lebanon,4.46,Asia
Chile,4.38,South America
Croatia,4.36,Europe
Iraq,4.26,Asia
Réunion,4.25,Unidentified
Serbia,4.23,Europe
Bosnia and Herzegovina,4.15,Europe
Argentina,4.12,South America
Romania,4.1,Europe
Maldives,4.06,Asia
Switzerland,4.02,Europe
Barbados,4,North America
Algeria,3.99,Africa
Portugal,3.96,Europe
Thailand,3.89,Asia
Latvia,3.88,Europe
"Bonaire, Saint Eustatius and Saba",3.87,Unidentified
Liechtenstein,3.87,Europe
Guyana,3.84,South America
Marshall Islands,3.78,Oceana
Azerbaijan,3.73,Europe
Uzbekistan,3.57,Asia
Mauritius,3.44,Africa
Sweden,3.42,Europe
Kosovo,3.4,Europe
Vietnam,3.34,Asia
Malta,3.27,Europe
North Macedonia,3.26,Europe
Mexico,3.21,North America
Equatorial Guinea,3.2,Africa
French Polynesia,3.12,Unidentified
Panama,2.99,North America
Georgia,2.93,Europe
Venezuela,2.83,South America
Laos,2.8,Asia
Montenegro,2.79,Europe
Jamaica,2.72,North America
Saint Lucia,2.7,North America
Dominican Republic,2.6,North America
Tunisia,2.58,Africa
Grenada,2.56,North America
Saint Helena,2.55,Unidentified
Botswana,2.51,Africa
Gabon,2.44,Africa
Armenia,2.44,Europe
Wallis and Futuna Islands,2.39,Unidentified
Ecuador,2.32,South America
Jordan,2.3,Asia
Egypt,2.28,Africa
Brazil,2.28,South America
Indonesia,2.26,Asia
French Guiana,2.19,Unidentified
Dominica,2.19,North America
North Korea,2.17,Asia
Saint Vincent and the Grenadines,2.05,North America
Uruguay,1.97,South America
Cuba,1.96,North America
Bhutan,1.96,Asia
Bolivia,1.93,South America
India,1.93,Asia
Morocco,1.9,Africa
Macao,1.87,Unidentified
Moldova,1.83,Europe
Colombia,1.78,South America
Belize,1.72,North America
Peru,1.67,South America
Tonga,1.65,Oceana
Albania,1.62,Europe
Fiji,1.59,Oceana
Namibia,1.59,Africa
Costa Rica,1.52,North America
Kyrgyzstan,1.43,Asia
Samoa,1.34,Oceana
Paraguay,1.28,South America
"Congo, Republic of the",1.28,Africa
Philippines,1.27,Asia
Syria,1.27,Asia
Guatemala,1.15,North America
Cambodia,1.15,Asia
El Salvador,1.14,North America
Cape Verde,1.14,Unidentified
Honduras,1.06,North America
Tajikistan,1.06,Asia
Lesotho,1,Africa
Pakistan,0.99,Asia
Sri Lanka,0.95,Asia
Swaziland,0.91,Unidentified
Mauritania,0.89,Africa
Papua New Guinea,0.86,Oceana
Senegal,0.81,Africa
Nicaragua,0.74,North America
Tuvalu,0.71,Oceana
Zimbabwe,0.71,Africa
Myanmar,0.67,Asia
Ghana,0.65,Africa
Nigeria,0.64,Africa
Angola,0.62,Africa
Benin,0.6,Africa
Sao Tome and Principe,0.59,Africa
Timor-Leste,0.56,Unidentified
Kiribati,0.56,Oceana
Bangladesh,0.55,Asia
Vanuatu,0.55,Oceana
Nepal,0.47,Asia
Sudan,0.46,Africa
Solomon Islands,0.45,Oceana
Cote d'Ivoire,0.43,Africa
Zambia,0.39,Africa
Yemen,0.38,Asia
Kenya,0.37,Africa
Comoros,0.36,Africa
Guinea,0.36,Africa
Djibouti,0.34,Africa
Cameroon,0.34,Africa
Afghanistan,0.3,Asia
Togo,0.27,Africa
Burkina Faso,0.26,Africa
Haiti,0.25,North America
Gambia,0.25,Africa
Liberia,0.23,Africa
Eritrea,0.23,Africa
Mozambique,0.22,Africa
Tanzania,0.21,Africa
Mali,0.19,Africa
Guinea-Bissau,0.17,Africa
Sierra Leone,0.15,Africa
Ethiopia,0.15,Africa
South Sudan,0.15,Africa
Madagascar,0.15,Africa
Rwanda,0.13,Africa
Uganda,0.13,Africa
Chad,0.11,Africa
Niger,0.11,Africa
Malawi,0.08,Africa
Burundi,0.06,Africa
Central African Republic,0.04,Africa
Somalia,0.04,Africa
"Congo, Democratic Republic of the",0.03,Africa
