Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,22/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,12039999.96,40430000.31,20909999.85,19290000.92,24329999.92,29979999.54,24969999.31,29979999.54,24860000.61,18260000.23,25799999.24,19530000.69,25069999.69,11260000.23,-7380000.114,11500000,-1700000.048,10489999.77,76220001.22,-11319999.69,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,,,,,,,,,,,491530003.2,563959994.6,688990003.9,804809999.7,1265530005,1871239952,1689510023,2117160014,2778050024,3852599973,4669250015,4549970003,4830960005,4704879938,4588420012,5459229926,6289619968,7560669958,8521049963,8447229914,10480720001,10194609941,11410189949,10290579914,10310319893,10800960118,8218980038,8028639986,7679369930,7481400024,7995110002,8510100046,11407200153,16522039884,16249479991,16411430004,18452829946,20486030153,23679979837,25143129997,24977449818,28533789930,26226879871,29207570093,25900260071,25497109968,25069150086,27881609782,27525489811,30202910114,,
Afghanistan,AFG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,17180000.31,34669998.17,16930000.31,36669998.17,46169998.17,53930000.31,50840000.15,41080001.83,29239999.77,27250000,27610000.61,44439998.63,55180000.31,55720001.22,48909999.85,66980003.36,70199996.95,82720001.22,74500000,99209999.08,28600000.38,22950000.76,9739999.771,13479999.54,6710000.038,16319999.69,2650000.095,46520000.46,73500000,149320007.3,122720001.2,508540008.5,204800003.1,223800003.1,226419998.2,212529998.8,169630004.9,230750000,164199996.9,142860000.6,136009994.5,410359985.4,1223290039,1538229980,2268530029,2815100098,2895830078,4982609863,4811209961,6113120117,6235319824,6740830078,6666319824,5152540039,4938020020,4271660156,4069379883,3811699951,3791419922,4137620117,4206660156,
Africa Western and Central,AFW,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,,,,,,,,,,,542780003.1,602020000.1,610400006.3,781199999.8,1159600010,1441460011,1382410000,1509669983,2107920006,2460690000,2706670010,2649729988,2614319970,2482990003,2834980006,2929300014,4007109980,4334899929,5026420055,5882469990,6473519947,6558540054,6609010010,6321599979,7606889927,6911829979,6707550060,5283050034,5644260025,4772110037,4049070066,4705749980,6247569956,6514859987,8213159975,14364720142,20366009918,12652500107,12531550003,14215949984,15345270012,14186749874,15529890201,14105610011,14729140148,14652700121,13834239950,15917469879,16573919943,18431019997,,
Angola,AGO,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,-50000.00075,23549999.24,,29999.99933,,1110000.014,2859999.895,18180000.31,9999.999776,-109999.9994,-29999.99933,0,90000.00358,159999.9964,370000.0048,4760000.229,17479999.54,47500000,46869998.93,47060001.37,52439998.63,60220001.22,59069999.69,73879997.25,93410003.66,90489997.86,130250000,134429992.7,157029998.8,167059997.6,265769989,277079986.6,343589996.3,289390014.6,447070007.3,416420013.4,459309997.6,354660003.7,335269989,387540008.5,302209991.5,282730011,414029998.8,493500000,1144569946,414679992.7,163520004.3,259980011,369040008.5,238940002.4,235169998.2,192940002.4,243210006.7,285540008.5,235389999.4,380010009.8,201270004.3,223220001.2,162289993.3,21309999.47,110870002.7,
Albania,ALB,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5559999.943,10340000.15,11050000.19,331950012.2,409640014.6,270679992.7,163100006.1,180600006.1,226639999.4,168229995.7,268739990.2,488179992.7,317850006.1,268529998.8,307359985.4,349309997.6,300940002.4,315079986.6,324040008.5,308630004.9,364839996.3,357149993.9,365070007.3,379480011,349070007.3,269299987.8,281170013.4,335160003.7,171039993.3,168350006.1,344320007.3,27049999.24,309950012.2,
Andorra,AND,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,,,,,,,,,,,713500001.1,730710006.2,875479998.4,2169269978,3869830048,5702299893,5924509939,6996859863,6880979955,8042799886,9272629957,8876639943,7479719999,6480009941,6031929986,6729439941,6399709944,6784450071,5300050010,5128569937,12762750096,11533449827,8300329900,7335299915,7671250001,6020099862,6374499895,5885569986,6482210034,5512709962,5082809940,5475920011,5307289941,9084489861,11674739841,29295579914,17562190310,19061669792,22708910317,14318619857,12318010101,13655589836,15120080116,22498559654,22269969971,20726760292,27757370087,30002789398,33942180252,31642609505,,
United Arab Emirates,ARE,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,409999.9964,540000.0215,430000.0072,389999.9857,579999.9833,19999.99955,1299999.952,1570000.052,1129999.995,870000.0048,5289999.962,5610000.134,4679999.828,759999.9905,589999.9738,4050000.191,1039999.962,34860000.61,1690000.057,7030000.21,4079999.924,330000.0131,4690000.057,4309999.943,3319999.933,4050000.191,34180000.31,114680000.3,-11970000.27,-5929999.828,3539999.962,-7659999.847,-9729999.542,-10170000.08,-8029999.733,5409999.847,6710000.038,1740000.01,3460000.038,3329999.924,3200000.048,2369999.886,3829999.924,4960000.038,5360000.134,,,,,,,,,,,,,,,,,
Argentina,ARG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,44049999.24,54790000.92,55159999.85,27870000.84,-5289999.962,-57150001.53,-9279999.733,8979999.542,2720000.029,17579999.92,-2440000.057,4980000.019,1889999.986,13560000.42,15949999.81,12000000,14090000.15,16389999.39,16760000.23,28270000.46,43680000.31,36830001.83,29489999.77,34419998.17,32740001.68,39080001.83,73669998.17,83389999.39,142479995.7,201610000.6,171630004.9,277769989,266730011,245949996.9,160919998.2,148179992.7,122440002.4,99260002.14,73959999.08,82379997.25,74559997.56,157639999.4,98989997.86,117720001.2,97339996.34,93870002.75,114209999.1,90230003.36,125019996.6,116029998.8,130309997.6,97050003.05,177750000,34729999.54,48790000.92,-18870000.84,2619999.886,-1169999.957,73110000.61,8810000.42,101279998.8,
