Country,Year,Happiness Index Score
Finland,2021,7.842
Finland,2020,7.809
Denmark,2021,7.62
Denmark,2020,7.646
Switzerland,2021,7.571
Switzerland,2020,7.56
Iceland,2021,7.554
Iceland,2020,7.504
Netherlands,2021,7.464
Netherlands,2020,7.449
Norway,2021,7.392
Norway,2020,7.488
Sweden,2021,7.363
Sweden,2020,7.353
Luxembourg,2021,7.324
Luxembourg,2020,7.238
New Zealand,2021,7.277
New Zealand,2020,7.3
Austria,2021,7.268
Austria,2020,7.294
Australia,2021,7.183
Australia,2020,7.223
Israel,2021,7.157
Israel,2020,7.129
Germany,2021,7.155
Germany,2020,7.076
Canada,2021,7.103
Canada,2020,7.232
Ireland,2021,7.085
Ireland,2020,7.129
Costa Rica,2021,7.069
Costa Rica,2020,7.121
United Kingdom,2021,7.064
United Kingdom,2020,7.165
Czech Republic,2021,6.965
Czech Republic,2020,6.911
United States,2021,6.951
United States,2020,6.94
Belgium,2021,6.834
Belgium,2020,6.864
France,2021,6.69
France,2020,6.664
Bahrain,2021,6.647
Bahrain,2020,6.227
Malta,2021,6.602
Malta,2020,6.773
Taiwan,2021,6.584
Taiwan,2020,6.455
United Arab Emirates,2021,6.561
United Arab Emirates,2020,6.791
Saudi Arabia,2021,6.494
Saudi Arabia,2020,6.406
Spain,2021,6.491
Spain,2020,6.401
Italy,2021,6.483
Italy,2020,6.387
Slovenia,2021,6.461
Slovenia,2020,6.363
Guatemala,2021,6.435
Guatemala,2020,6.399
Uruguay,2021,6.431
Uruguay,2020,6.44
Singapore,2021,6.377
Singapore,2020,6.377
Slovakia,2021,6.331
Slovakia,2020,6.281
Brazil,2021,6.33
Brazil,2020,6.376
Mexico,2021,6.317
Mexico,2020,6.465
Jamaica,2021,6.309
Jamaica,2020,5.89
Lithuania,2021,6.255
Lithuania,2020,6.215
Cyprus,2021,6.223
Cyprus,2020,6.159
Estonia,2021,6.189
Estonia,2020,6.022
Panama,2021,6.18
Panama,2020,6.305
Uzbekistan,2021,6.179
Uzbekistan,2020,6.258
Chile,2021,6.172
Chile,2020,6.228
Poland,2021,6.166
Poland,2020,6.186
Kazakhstan,2021,6.152
Kazakhstan,2020,6.058
Romania,2021,6.14
Romania,2020,6.124
Kuwait,2021,6.106
Kuwait,2020,6.102
Serbia,2021,6.078
Serbia,2020,5.778
El Salvador,2021,6.061
El Salvador,2020,6.348
Mauritius,2021,6.049
Mauritius,2020,6.101
Latvia,2021,6.032
Latvia,2020,5.95
Colombia,2021,6.012
Colombia,2020,6.163
Hungary,2021,5.992
Hungary,2020,6.0
Thailand,2021,5.985
Thailand,2020,5.999
Nicaragua,2021,5.972
Nicaragua,2020,6.137
Japan,2021,5.94
Japan,2020,5.871
Argentina,2021,5.929
Argentina,2020,5.975
Portugal,2021,5.929
Portugal,2020,5.911
Honduras,2021,5.919
Honduras,2020,5.953
Croatia,2021,5.882
Croatia,2020,5.505
Philippines,2021,5.88
Philippines,2020,6.006
South Korea,2021,5.845
South Korea,2020,5.872
Peru,2021,5.84
Peru,2020,5.797
Bosnia and Herzegovina,2021,5.813
Bosnia and Herzegovina,2020,5.674
Moldova,2021,5.766
Moldova,2020,5.608
Ecuador,2021,5.764
Ecuador,2020,5.925
Kyrgyzstan,2021,5.744
Kyrgyzstan,2020,5.542
Greece,2021,5.723
Greece,2020,5.515
Bolivia,2021,5.716
Bolivia,2020,5.747
Mongolia,2021,5.677
Mongolia,2020,5.456
Paraguay,2021,5.653
Paraguay,2020,5.692
Montenegro,2021,5.581
Montenegro,2020,5.546
Dominican Republic,2021,5.545
Dominican Republic,2020,5.689
Belarus,2021,5.534
Belarus,2020,5.54
Russia,2021,5.477
Russia,2020,5.546
Hong Kong,2021,5.477
Hong Kong,2020,5.51
Tajikistan,2021,5.466
Tajikistan,2020,5.556
Vietnam,2021,5.411
Vietnam,2020,5.353
Libya,2021,5.41
Libya,2020,5.489
Malaysia,2021,5.384
Malaysia,2020,5.384
Indonesia,2021,5.345
Indonesia,2020,5.286
Republic of the Congo,2021,5.342
Republic of the Congo,2020,5.194
China,2021,5.339
China,2020,5.124
Ivory Coast,2021,5.306
Ivory Coast,2020,5.233
Armenia,2021,5.283
Armenia,2020,4.677
Nepal,2021,5.269
Nepal,2020,5.137
Bulgaria,2021,5.266
Bulgaria,2020,5.102
Maldives,2021,5.198
Maldives,2020,5.198
Azerbaijan,2021,5.171
Azerbaijan,2020,5.165
Cameroon,2021,5.142
Cameroon,2020,5.085
Senegal,2021,5.132
Senegal,2020,4.981
Albania,2021,5.117
Albania,2020,4.883
North Macedonia,2021,5.101
North Macedonia,2020,5.16
Ghana,2021,5.088
Ghana,2020,5.148
Niger,2021,5.074
Niger,2020,4.91
Turkmenistan,2021,5.066
Turkmenistan,2020,5.119
Gambia,2021,5.051
Gambia,2020,4.751
Benin,2021,5.045
Benin,2020,5.216
Laos,2021,5.03
Laos,2020,4.889
Bangladesh,2021,5.025
Bangladesh,2020,4.833
Guinea,2021,4.984
Guinea,2020,4.949
South Africa,2021,4.956
South Africa,2020,4.814
Turkey,2021,4.948
Turkey,2020,5.132
Pakistan,2021,4.934
Pakistan,2020,5.693
Morocco,2021,4.918
Morocco,2020,5.095
Venezuela,2021,4.892
Venezuela,2020,5.053
Georgia,2021,4.891
Georgia,2020,4.673
Algeria,2021,4.887
Algeria,2020,5.005
Ukraine,2021,4.875
Ukraine,2020,4.561
Iraq,2021,4.854
Iraq,2020,4.785
Gabon,2021,4.852
Gabon,2020,4.829
Burkina Faso,2021,4.834
Burkina Faso,2020,4.769
Cambodia,2021,4.83
Cambodia,2020,4.848
Mozambique,2021,4.794
Mozambique,2020,4.624
Nigeria,2021,4.759
Nigeria,2020,4.724
Mali,2021,4.723
Mali,2020,4.729
Iran,2021,4.721
Iran,2020,4.672
Uganda,2021,4.636
Uganda,2020,4.432
Liberia,2021,4.625
Liberia,2020,4.558
Kenya,2021,4.607
Kenya,2020,4.583
Tunisia,2021,4.596
Tunisia,2020,4.392
Lebanon,2021,4.584
Lebanon,2020,4.772
Namibia,2021,4.574
Namibia,2020,4.571
Myanmar,2021,4.426
Myanmar,2020,4.308
Jordan,2021,4.395
Jordan,2020,4.633
Chad,2021,4.355
Chad,2020,4.423
Sri Lanka,2021,4.325
Sri Lanka,2020,4.327
Eswatini,2021,4.308
Eswatini,2020,4.308
Comoros,2021,4.289
Comoros,2020,4.289
Egypt,2021,4.283
Egypt,2020,4.151
Ethiopia,2021,4.275
Ethiopia,2020,4.186
Mauritania,2021,4.227
Mauritania,2020,4.375
Madagascar,2021,4.208
Madagascar,2020,4.166
Togo,2021,4.107
Togo,2020,4.187
Zambia,2021,4.073
Zambia,2020,3.759
Sierra Leone,2021,3.849
Sierra Leone,2020,3.926
India,2021,3.819
India,2020,3.573
Burundi,2021,3.775
Burundi,2020,3.775
Yemen,2021,3.658
Yemen,2020,3.527
Tanzania,2021,3.623
Tanzania,2020,3.476
Haiti,2021,3.615
Haiti,2020,3.721
Malawi,2021,3.6
Malawi,2020,3.538
Lesotho,2021,3.512
Lesotho,2020,3.653
Botswana,2021,3.467
Botswana,2020,3.479
Rwanda,2021,3.415
Rwanda,2020,3.312
Zimbabwe,2021,3.145
Zimbabwe,2020,3.299
Afghanistan,2021,2.523
Afghanistan,2020,2.567
