Year,"Real Median house prices, £",Median Avg Salary UK,Price to Earnings
1999,90000,17803,5.06
2000,99000,18848,5.25
2001,110000,19722,5.59
2002,125000,20376,6.14
2003,154000,21124,7.31
2004,177000,22056,8.03
2005,188000,22888,8.23
2006,204000,23367,8.73
2007,223000,24043,9.29
2008,228000,25165,9.07
2009,228000,25806,8.83
2010,254000,25882,9.82
2011,248000,26095,9.49
2012,247000,26472,9.33
2013,251000,27011,9.3
2014,267000,27215,9.83
2015,277000,27615,10.02
2016,282000,28195,9.98
2017,277000,28759,9.62
2018,278000,29559,9.41
2019,277000,30378,9.13
2020,301000,31487,9.56
2021,324000,31285,10.37
