Year,UKR,SSA
1997,20825.939896,395.0299988
1998,20429.819969,683.4899902000001
1999,18663.85993,845.3200072999999
2000,19577.660112,822.75
2001,22068.15997,774.3800049
2002,28228.789972,692.8599854
2003,32075.38016,436.730011
2004,30933.859995,456.9100037
2005,37122.87969,472.48999019999997
2006,45192.369934,546.7000122000001
2007,36798.36963,434.67001339999996
2008,39336.140004,593.8400269
2009,44826.05023,645.3900146
2010,44776.089924,661.7199707000001
2011,45258.270159,711.7000122000001
2012,45828.090142,756.4500122000001
2013,46196.890396,754.960022
2014,44753.86965,1317.969971
2015,47536.929776,1548.890015
2016,47458.110032,1607.609985
2017,52177.969752,1236.900024
2018,51345.359657,1223.170044
2019,54515.659966,1181.150024
