Country Name,GDP (million US$),ODA (million US$),"Population, total"
Afghanistan,20143.44215,4206.660156,38972230
Albania,15131866272,309.9500122,2837849
Algeria,1.45009E+11,209.5899963,43451666
American Samoa,716000000.1,0,46189
Andorra,2891022273,0,77700
Angola,53619073490,110.8700027,33428486
Antigua and Barbuda,1370281482,25.78000069,92664
Argentina,3.8554E+11,101.2799988,45376763
Armenia,12641697523,105.6200027,2805608
Aruba,2610038938,0,106585
Australia,1.3269E+12,0,25655289
Austria,4.35225E+11,0,8916864
Azerbaijan,42693000000,121.2699966,10093121
"Bahamas, The",9699499999,0,406471
Bahrain,34723357443,0,1477469
Bangladesh,3.73902E+11,5373.850098,167420951
Barbados,4671800000,0,280693
Belarus,61371126411,822.8099976,9379952
Belgium,5.25212E+11,0,11538604
Belize,2080000000,69.23000336,394921
Benin,15651545204,1049.130005,12643123
Bermuda,6887146998,0,63893
Bhutan,2325184482,202.2100067,772506
Bolivia,36629843804,338.3999939,11936162
Bosnia and Herzegovina,19950471170,437.4700012,3318407
Botswana,14930072459,78.70999908,2546402
Brazil,1.44856E+12,612.4299927,213196304
British Virgin Islands,#VALUE!,0,30910
Brunei Darussalam,12005825761,0,441725
Bulgaria,70240275012,0,6934015
Burkina Faso,17933606352,1730.790039,21522626
Burundi,2649671998,478.8500061,12220227
Cabo Verde,1703698677,157.4299927,582640
Cambodia,25872798008,1373.209961,16396860
Cameroon,40773241543,1399.810059,26491087
Canada,1.64542E+12,0,38037204
Cayman Islands,5608989199,0,67311
Central African Republic,2326720921,829.9799805,5343020
Chad,10715396136,1036.650024,16644701
Channel Islands,#VALUE!,0,171113
Chile,2.52727E+11,0,19300315
China,1.46877E+13,-573.6099854,1411100000
Colombia,2.703E+11,1868.719971,50930662
Comoros,1225039231,131.9100037,806166
"Congo, Dem. Rep.",48716960856,3377.360107,92853164
"Congo, Rep.",10483151179,214.8300018,5702174
Costa Rica,62158002208,209.6100006,5123105
Cote d'Ivoire,61348579475,1561.949951,26811790
Croatia,57472012429,0,4047680
Cuba,1.07352E+11,174.4799957,11300698
Curacao,2496174749,0,154947
Cyprus,34695821783,0,1237537
Czechia,2.45975E+11,0,10697858
Denmark,3.55222E+11,0,5831404
Djibouti,3181071154,256.1400146,1090156
Dominica,504214814.8,64.16000366,71995
Dominican Republic,78844702328,554.8300171,10999664
Ecuador,99291124006,343.1600037,17588595
"Egypt, Arab Rep.",3.65253E+11,1564.040039,107465134
El Salvador,24563020001,626.6699829,6292731
Equatorial Guinea,10099158076,5.949999809,1596049
Eritrea,#VALUE!,60.70999908,3555868
